peopleAhead,activeCounters,hour,dayOfWeek,queueLength,eta
38,5,19,1,39,52.38467641154145
28,1,16,0,35,118.85671970167812
14,1,19,2,17,71.6569323389844
42,3,11,4,47,70.77877500866478
7,3,17,2,15,15.785093679498187
20,2,15,1,34,51.47720390532727
38,1,13,6,49,201.55402467092364
18,3,20,1,30,35.53645952291803
22,2,19,5,26,65.49983446650563
10,1,20,5,12,37.30787071091449
10,2,18,5,17,31.778279487173357
23,5,17,4,27,28.574183699647012
35,4,18,2,39,44.116748178988274
39,1,12,3,51,187.8099313936513
23,3,12,0,25,44.750453534646994
2,5,10,3,14,4.58065126928234
21,2,11,3,34,55.29812647112544
1,4,17,5,5,10.113495850414363
23,1,12,4,27,99.5529159915521
43,4,16,3,55,51.95446133447994
29,5,17,5,39,41.373505887643276
37,4,10,5,45,43.51570766833233
1,1,12,6,10,11.739764540950352
20,5,20,3,28,23.804346319892158
32,2,18,0,42,80.92308957166318
11,1,16,5,15,49.526931263656586
21,4,8,6,34,22.22645769727144
43,1,12,6,48,176.2613908178386
24,5,11,1,32,32.71272788168523
48,4,8,6,55,63.14989481346485
26,2,8,6,31,55.27663029618934
41,3,14,0,43,60.13205625299105
27,2,19,6,31,75.30746436002654
15,1,13,0,20,72.19986601754755
14,3,8,4,26,22.367724007335404
46,5,11,5,51,57.5507978985379
50,4,14,1,54,81.26086308079529
43,4,18,2,47,69.27023987594882
2,5,13,2,11,11.752213679004972
36,1,17,3,37,183.89147152788422
50,2,9,4,64,128.619040647867
6,3,18,1,9,19.816121016291195
20,5,16,4,22,20.814649166015233
8,1,17,1,9,54.53374070147982
38,1,10,1,44,178.47494403242385
17,3,9,0,28,33.94178292011819
3,5,8,1,13,11.52527542821646
24,2,19,1,35,66.64525462478284
13,2,10,2,24,30.871561593531826
49,5,13,6,59,62.36421520145838
8,4,17,3,21,22.582726731059143
25,2,8,2,30,50.32959516528399
1,4,9,5,12,7.556002263510455
19,5,16,0,25,20.664633435080766
27,1,8,0,31,99.63281861615756
46,5,8,4,60,45.41118815517766
6,1,16,0,12,26.34885263733559
43,5,10,3,47,48.243244725288974
7,4,13,6,10,14.0965031715218
46,4,19,1,55,80.08418091299582
34,5,10,2,43,32.62160699675505
13,1,9,4,17,47.50900570648161
16,5,18,0,17,20.29163500036565
35,1,10,0,38,152.04797269370985
49,4,17,3,50,79.52285667187269
39,3,11,2,43,60.14597335054086
3,2,18,5,9,10.080990957519997
1,4,8,4,14,2.865869226815477
5,5,10,5,9,11.94151392267732
41,5,14,5,55,67.93515401657123
3,1,9,6,16,15.596538198404946
28,2,14,2,32,75.86627275506878
17,4,11,5,18,19.47889721924896
25,2,14,5,26,61.22806559441132
43,2,18,2,47,82.35199332451752
33,4,10,5,38,40.90088149566248
9,1,14,5,12,37.892105135035905
35,1,17,5,36,142.37712112128142
13,1,20,4,19,54.07212284503514
30,3,20,0,34,39.290681376606955
47,2,14,3,50,137.88811341866352
14,3,10,6,26,18.346620762305108
7,1,13,3,16,33.290794829423916
13,4,16,3,21,20.013596054683052
22,2,18,4,32,53.31750283288004
39,4,14,2,52,57.07082887348418
20,5,12,6,28,31.51819825339428
15,2,18,3,28,47.1764071190577
44,4,8,3,53,59.94116100024887
17,1,15,5,22,67.54496339116528
46,3,11,2,50,79.85865573145566
23,4,18,0,26,37.41237061652684
25,5,9,0,31,25.201632157671266
24,1,16,3,30,96.73310493979619
44,5,10,2,55,37.11662942087341
40,3,20,0,43,77.21515538831557
28,5,13,5,40,33.76567985305587
14,4,10,1,26,27.62034609737386
44,4,20,1,46,59.03288937593966
0,1,14,6,13,7.796377694511586
24,3,9,4,27,39.47418472472805
6,3,11,6,15,11.402615241682636
8,2,20,4,20,25.570209154085834
23,2,18,3,24,59.91055814416489
0,4,17,2,4,8.44779416943624
43,5,16,4,52,39.47833767844534
7,5,18,2,20,17.02257181846058
23,1,15,1,30,115.22797554995229
10,3,15,2,21,19.025572771933305
50,4,15,3,63,62.11983367185106
16,5,14,0,25,23.258898958634635
7,2,13,4,11,21.573307026363143
34,4,15,2,46,51.62758081891069
34,1,14,3,43,123.9840616905121
32,4,8,2,36,47.50867481527554
4,5,13,3,16,8.156071086156526
41,1,15,3,49,161.80630767013153
38,2,12,4,44,106.33353313571155
40,2,13,5,54,106.49321008334978
27,5,9,6,30,27.47986966305902
6,1,19,0,14,32.980997725921846
8,2,18,2,11,29.740908383025992
7,1,9,1,12,37.58314673634617
11,4,9,4,25,19.769646934297143
33,3,19,4,43,64.54991837274468
32,3,13,4,46,64.42851881460508
47,3,12,2,59,79.87514863993282
22,2,13,4,28,62.251167825588446
23,5,13,4,25,30.037453359609977
36,3,19,4,43,77.48414652211463
34,5,11,4,42,31.156726201436214
43,3,14,0,55,67.24798856490278
39,4,19,2,41,59.85634345698592
21,3,16,3,24,43.13202893102122
26,5,14,1,35,32.14096698949784
34,2,13,5,39,93.53494441069454
0,4,18,3,14,13.944838332919485
34,5,19,5,41,42.28665591248136
36,1,10,4,44,149.2103699717365
46,3,13,2,53,98.28729489293124
13,4,15,1,21,27.083529955945377
2,2,15,3,15,8.938339289627029
0,1,11,2,7,0.0
4,3,20,4,7,7.027072419794193
25,4,12,4,30,33.25620697911663
13,5,11,6,24,17.268302246857825
38,3,9,4,47,64.29792018296473
26,4,18,5,39,46.76293548299933
8,3,12,6,12,18.19835746708297
14,4,8,1,19,22.0236447717057
14,5,9,1,16,20.183428882237536
25,3,14,4,30,45.20338683645642
41,4,12,5,47,59.824350378346324
12,1,17,1,19,72.0985664286873
50,2,15,3,60,95.70616012502457
31,4,13,0,43,49.076248163769
38,4,15,2,48,40.24769765666075
48,4,18,0,52,64.65655476236348
31,3,9,5,32,58.47314484462772
3,2,15,0,8,5.765402567996465
29,3,16,2,36,53.83656326760606
36,4,15,3,38,42.352561010914776
22,4,14,1,23,32.063147348233606
38,2,15,0,47,90.36577283953325
44,1,9,0,58,203.0130003464298
14,3,13,3,24,31.646702209455498
42,1,14,3,55,191.4430335278649
28,4,20,4,31,33.90296513904228
35,4,16,4,44,55.31075478505114
12,5,18,3,21,20.139900598878796
31,5,20,0,41,30.515587689476604
6,1,10,2,18,32.27264608493389
50,5,13,0,54,70.08976603616688
21,2,15,4,24,59.38903069304431
27,1,11,0,30,93.70906003346201
1,5,12,6,8,3.380415950772547
41,5,9,1,46,57.342080827675346
44,2,18,6,47,95.61250472506377
5,2,17,1,11,22.94375896893883
27,1,14,1,39,147.2323870440648
27,3,15,6,39,51.060080499606165
43,2,13,3,56,97.98414186253595
43,5,16,0,53,45.548248717258694
19,1,18,2,20,98.3426967407777
29,3,10,4,39,52.16761029417822
10,1,16,3,15,45.70141031681219
27,5,16,3,37,31.332910405539096
24,3,16,1,38,56.261319999151766
38,3,13,1,52,80.38577297431311
32,2,16,1,44,89.03086295152666
0,4,14,4,14,6.441511013336006
26,5,15,5,34,30.81413147234667
12,4,15,1,25,21.018854236390617
40,5,19,3,45,40.202674599828654
2,1,15,1,5,10.363595457259276
38,4,10,3,48,42.78165237322484
5,3,13,5,9,10.847095632490454
7,2,14,0,16,22.151033765516036
26,5,11,5,30,31.95834338690215
8,2,11,4,15,17.58656480355903
36,5,14,0,45,39.26793339703627
32,3,9,0,46,55.72627495065218
50,3,18,2,57,96.66735508262293
41,3,18,2,44,74.76184179486819
43,3,15,1,45,68.36651062149268
23,3,13,1,35,54.50852011695893
14,2,18,3,23,39.386163359641095
31,1,18,6,45,155.17262218016825
31,4,16,3,42,35.74796946795166
23,2,12,4,35,67.61711214316149
40,4,17,0,41,56.8126629410625
48,1,17,5,50,185.5796995781007
48,5,8,0,55,41.08583699239333
11,1,14,4,12,47.57632275714193
38,1,11,5,42,170.5566642884425
1,5,20,1,15,5.083796958342058
2,4,17,5,6,10.457272392051703
48,3,11,1,61,75.93680895087542
36,5,10,1,45,50.885096214278555
48,5,20,6,52,44.48874276316585
16,1,12,1,20,67.98422759661382
48,5,13,5,62,54.47872909594152
1,2,10,3,12,7.550932205593934
1,3,15,1,11,4.23213018598892
27,1,9,1,39,100.92079329011322
22,4,14,0,30,37.1121147246059
36,4,20,2,44,58.98725164133847
31,4,8,4,38,43.07322158648878
32,4,16,6,44,44.79669234802565
0,4,16,5,7,1.4799770297379902
18,1,12,4,19,92.8105784977575
1,2,9,6,2,0.0
43,2,13,4,47,98.17582504412385
25,4,19,2,30,42.305389149811425
31,2,17,6,41,65.82328210545089
5,3,19,6,6,14.562780476500896
31,2,12,3,39,85.80327986793014
3,5,18,4,10,9.05803836975819
10,4,11,4,24,17.12647430789466
16,5,19,4,22,22.500374851027996
37,5,9,4,41,40.9833614976247
23,4,12,5,35,48.700558844772196
4,1,15,3,18,29.849697948151757
33,2,9,1,44,76.28970317217768
5,3,20,5,18,11.524697232143179
21,1,14,3,31,94.2585974494493
10,3,19,3,11,24.228554691323303
47,4,10,0,51,69.53384160090442
